id,version,creation_time,observation_time,version_time,probability_of_occurrence,validity_status,overall_start_time,overall_severity,description,location_text,lat,lon,loc_col2,loc_col3,loc_col4,loc_col5,carriageway,direction_ref
RWS03_532731_1,2,2025-12-02T17:12:49Z,2025-12-02T17:12:49Z,2025-12-02T17:12:49Z,certain,active,2025-12-02T17:12:57Z,unknown,,52.103516 | 4.4507623 | 8 | 6.13 | A | positive | 9308 | 3200 | 9205 | 5100,52.103516,4.4507623,8,6.13,A,positive,A,positive
RWS03_532730_1,2,2025-12-02T17:10:43Z,2025-12-02T17:10:43Z,2025-12-02T17:10:43Z,certain,active,2025-12-02T17:10:51Z,unknown,,51.854782 | 5.7071495 | 8 | 6.13 | A | negative | 9380 | 1000,51.854782,5.7071495,8,6.13,A,negative,A,negative
RWS03_532736_1,2,2025-12-02T17:25:25Z,2025-12-02T17:25:25Z,2025-12-02T17:25:25Z,certain,active,2025-12-02T17:25:33Z,unknown,,52.352093 | 4.9636025 | 8 | 6.13 | A | negative | 7187 | 400,52.352093,4.9636025,8,6.13,A,negative,A,negative
RWS03_532735_1,2,2025-12-02T17:17:53Z,2025-12-02T17:17:53Z,2025-12-02T17:17:53Z,certain,active,2025-12-02T17:17:58Z,unknown,,51.893143 | 4.5596347 | 8 | 6.13 | A | positive | 7627 | 1900 | 7625 | 400,51.893143,4.5596347,8,6.13,A,positive,A,positive
RWS03_532734_1,2,2025-12-02T17:16:50Z,2025-12-02T17:16:50Z,2025-12-02T17:16:50Z,certain,active,2025-12-02T17:16:58Z,unknown,,52.223423 | 4.6338983 | 8 | 6.13 | A | negative | 9215 | 1300 | 9217 | 2200,52.223423,4.6338983,8,6.13,A,negative,A,negative
RWS03_532733_1,2,2025-12-02T17:16:49Z,2025-12-02T17:16:49Z,2025-12-02T17:16:49Z,certain,active,2025-12-02T17:16:57Z,unknown,,52.02821 | 4.6769123 | 8 | 6.13 | A | negative | 7271 | 800 | 7272 | 1000,52.02821,4.6769123,8,6.13,A,negative,A,negative
RWS03_532732_1,2,2025-12-02T17:13:41Z,2025-12-02T17:13:41Z,2025-12-02T17:13:41Z,certain,active,2025-12-02T17:13:49Z,unknown,,51.860912 | 5.2252235 | 8 | 6.13 | A | positive | 7972 | 2400 | 7969 | 1400,51.860912,5.2252235,8,6.13,A,positive,A,positive
RWS03_532728_1,2,2025-12-02T17:08:44Z,2025-12-02T17:08:44Z,2025-12-02T17:08:44Z,certain,active,2025-12-02T17:08:52Z,unknown,,51.710167 | 4.641338 | 8 | 6.13 | A | positive | 7610 | 1400 | 7608 | 1200,51.710167,4.641338,8,6.13,A,positive,A,positive
RWS03_532727_1,2,2025-12-02T17:04:41Z,2025-12-02T17:04:41Z,2025-12-02T17:04:41Z,certain,active,2025-12-02T17:04:49Z,unknown,,51.721134 | 5.3291683 | 8 | 6.13 | A | negative | 7952 | 1200 | 7954 | 1000,51.721134,5.3291683,8,6.13,A,negative,A,negative
RWS03_532725_1,2,2025-12-02T17:03:01Z,2025-12-02T17:03:01Z,2025-12-02T17:03:01Z,certain,active,2025-12-02T17:03:09Z,unknown,,52.22969 | 5.234358 | 8 | 6.13 | A | positive | 8364 | 1100,52.22969,5.234358,8,6.13,A,positive,A,positive
RWS03_532729_1,2,2025-12-02T17:10:37Z,2025-12-02T17:10:37Z,2025-12-02T17:10:37Z,certain,active,2025-12-02T17:10:45Z,unknown,,52.105885 | 5.2578964 | 8 | 6.13 | A | positive | 8467 | 800 | 8463 | 5800,52.105885,5.2578964,8,6.13,A,positive,A,positive
