site_id,measurement_time,avg_speed_kmh,flow_veh_per_hour,lat,lon,carriageway_type,carriageway,direction_ref
PZH01_MST_0635_01_01,2025-12-01T14:59:00Z,59.0,900.0,51.9942322,4.259998,mainCarriageway,A,negative
PZH01_MST_0635_01_00,2025-12-01T14:59:00Z,33.0,300.0,51.994175,4.259996,mainCarriageway,A,positive
PZH01_MST_0982_00,2025-12-01T14:59:00Z,86.0,1440.0,52.127636,4.470652,mainCarriageway,A,positive
PZH01_MST_0981_01,2025-12-01T14:59:00Z,64.0,1440.0,52.01038,4.456722,mainCarriageway,A,negative
PZH01_MST_0911_00,2025-12-01T14:59:00Z,84.0,60.0,51.85979,4.42473,mainCarriageway,A,negative
PZH01_MST_0857_02,2025-12-01T14:59:00Z,83.0,60.0,51.9855,4.34183,mainCarriageway,A,negative
PZH01_MST_0637_01,2025-12-01T14:59:00Z,49.0,720.0,52.029686,4.632839,mainCarriageway,A,positive
PZH01_MST_0637_00,2025-12-01T14:59:00Z,49.0,600.0,52.02973,4.632705,mainCarriageway,A,positive
PZH01_MST_0869_00,2025-12-01T14:59:00Z,24.0,60.0,52.02404,4.474703,mainCarriageway,A,positive
PZH01_MST_0009_00,2025-12-01T14:59:00Z,46.0,60.0,52.14062,4.481703,mainCarriageway,A,positive
PZH01_MST_0634_02,2025-12-01T14:59:00Z,76.0,720.0,51.9836769,4.220052,mainCarriageway,A,negative
PZH01_MST_0634_00,2025-12-01T14:59:00Z,77.0,720.0,51.9836578,4.220197,mainCarriageway,A,positive
PZH01_MST_0075_00,2025-12-01T14:59:00Z,71.0,60.0,51.9094772,4.633567,mainCarriageway,A,positive
PZH01_MST_0983_00,2025-12-01T14:59:00Z,43.0,840.0,52.12646,4.471561,mainCarriageway,A,negative
PZH01_MST_0972_00,2025-12-01T14:59:00Z,74.0,1200.0,52.18428,4.421061,mainCarriageway,A,positive
PZH01_MST_0601_00,2025-12-01T14:59:00Z,49.0,60.0,51.8062744,4.512357,mainCarriageway,A,positive
PZH01_MST_0636_01_00,2025-12-01T14:59:00Z,53.0,840.0,52.22797,4.467997,mainCarriageway,A,positive
PZH01_MST_0636_01_01,2025-12-01T14:59:00Z,56.0,720.0,52.2279968,4.467968,mainCarriageway,A,negative
PZH01_MST_0079_01,2025-12-01T14:59:00Z,20.0,60.0,51.9305878,4.782155,mainCarriageway,A,negative
PZH01_MST_0641_01,2025-12-01T14:59:00Z,65.0,1020.0,52.0218239,4.62027,mainCarriageway,A,positive
